title,type,grade,subject,content_link,chapter_slug
Scientific Method,document,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-physics-flexbook-2.0/section/1.2/primary/lesson/scientific-method-phys/,1-scientific-study
Scientific Measurement,document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://gradewise.pustakalaya.org/grade/6/science-and-technology/1-scientific-study/video/dd451f2d-3ee5-44a7-998d-a09fc56b2799,1-scientific-study
नाप,Interactive,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://epaath.olenepal.org/start.html?id=scimes01&lang=np&grade=8,1-scientific-study
Bugs and Birds in Origami,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/592843a1-7e1a-4769-b30c-cc2ffa030b53/,1-scientific-study
Origami for Everyone,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/81e8a6a3-db4e-435d-a21c-a381c1e50fc3/,1-scientific-study
Basic Computing Using Windows,document,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/3f71c399-6bd6-4238-b52b-74014f86bbf3/,2-information-and-communication-technology
Build Your Own Security,document,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/81e0e9e5-4e71-4e17-b323-0fe7ca50a1a9/,2-information-and-communication-technology
How computers work,video,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/videos/detail/d962b64b-c813-45b0-9f6e-be29b7268a67/,2-information-and-communication-technology
Build Your Own Security,document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/81e0e9e5-4e71-4e17-b323-0fe7ca50a1a9/,2-information-and-communication-technology
Lost in the internet,document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/cd67722c-a08f-401e-8d6e-f1b012763071/,2-information-and-communication-technology
Basic computing using windows,document,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/3f71c399-6bd6-4238-b52b-74014f86bbf3/,2-information-and-communication-technology
Mushroom farming,document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/2e265476-6854-4e47-b62f-74574e93db67/,3-Mushroom
